timestamp,current_cpu,avg_cpu,trend,action,reason,desired_count_before,desired_count_after
2026-07-27T10:14:04.761687+00:00,0.58,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T10:14:36.241914+00:00,0.58,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T10:15:07.739920+00:00,0.58,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T10:15:39.214698+00:00,0.58,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T10:16:10.790911+00:00,0.82,0.63,RISING,NO_CHANGE,Ortalama CPU (0.6) normal aralikta,1,1
2026-07-27T10:16:42.312321+00:00,0.82,0.68,RISING,NO_CHANGE,Ortalama CPU (0.7) normal aralikta,1,1
2026-07-27T10:17:13.893795+00:00,1.38,0.83,RISING,NO_CHANGE,Ortalama CPU (0.8) normal aralikta,1,1
2026-07-27T10:17:46.363590+00:00,1.67,1.05,RISING,NO_CHANGE,Ortalama CPU (1.1) normal aralikta,1,1
2026-07-27T10:18:17.883828+00:00,1.94,1.32,RISING,NO_CHANGE,Ortalama CPU (1.3) normal aralikta,1,1
2026-07-27T10:18:49.347152+00:00,2.15,1.59,RISING,NO_CHANGE,Ortalama CPU (1.6) normal aralikta,1,1
2026-07-27T10:19:21.563007+00:00,2.55,1.94,RISING,NO_CHANGE,Ortalama CPU (1.9) normal aralikta,1,1
2026-07-27T10:19:53.217313+00:00,2.68,2.2,RISING,NO_CHANGE,Ortalama CPU (2.2) normal aralikta,1,1
2026-07-27T10:20:25.996505+00:00,2.97,2.46,RISING,NO_CHANGE,Ortalama CPU (2.5) normal aralikta,1,1
2026-07-27T10:20:57.496087+00:00,4.54,2.98,RISING,NO_CHANGE,Ortalama CPU (3.0) normal aralikta,1,1
2026-07-27T10:21:29.159267+00:00,4.96,3.54,RISING,NO_CHANGE,Ortalama CPU (3.5) normal aralikta,1,1
2026-07-27T10:22:00.856886+00:00,10.18,5.07,RISING,NO_CHANGE,Ortalama CPU (5.1) normal aralikta,1,1
2026-07-27T10:22:32.356479+00:00,12.02,6.93,RISING,NO_CHANGE,Ortalama CPU (6.9) normal aralikta,1,1
2026-07-27T10:23:03.848900+00:00,18.97,10.13,RISING,NO_CHANGE,Ortalama CPU (10.1) normal aralikta,1,1
2026-07-27T10:23:35.417297+00:00,18.97,13.02,RISING,NO_CHANGE,Ortalama CPU (13.0) normal aralikta,1,1
2026-07-27T10:24:06.812964+00:00,26.06,17.24,RISING,NO_CHANGE,Ortalama CPU (17.2) normal aralikta,1,1
2026-07-27T10:24:38.351521+00:00,26.06,20.42,RISING,NO_CHANGE,Ortalama CPU (20.4) normal aralikta,1,1
2026-07-27T10:25:09.795380+00:00,31.31,24.27,RISING,NO_CHANGE,Ortalama CPU (24.3) normal aralikta,1,1
2026-07-27T10:25:41.304995+00:00,31.31,26.74,RISING,NO_CHANGE,Ortalama CPU (26.7) normal aralikta,1,1
2026-07-27T10:26:12.873016+00:00,37.01,30.35,RISING,NO_CHANGE,Ortalama CPU (30.4) normal aralikta,1,1
2026-07-27T10:26:44.478896+00:00,49.6,35.06,RISING,NO_CHANGE,Ortalama CPU (35.1) normal aralikta,1,1
2026-07-27T10:27:15.988963+00:00,54.3,40.7,RISING,NO_CHANGE,Ortalama CPU (40.7) normal aralikta,1,1
2026-07-27T11:20:28.972933+00:00,0.59,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T11:21:00.399893+00:00,0.6,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T11:21:31.943278+00:00,0.6,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T11:22:03.353521+00:00,0.79,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T11:22:34.897345+00:00,0.79,0.67,RISING,NO_CHANGE,Ortalama CPU (0.7) normal aralikta,1,1
2026-07-27T11:23:08.582989+00:00,1.34,0.82,RISING,NO_CHANGE,Ortalama CPU (0.8) normal aralikta,1,1
2026-07-27T11:23:40.213739+00:00,1.34,0.97,RISING,NO_CHANGE,Ortalama CPU (1.0) normal aralikta,1,1
